gene	GSM4237826	GSM4237827	GSM4237828	GSM4237829	GSM4237830	GSM4237831	GSM4237832	GSM4237833	GSM4237834	GSM4237835	GSM4237836	GSM4237837
HLA-DMB	10.013	9.120	9.528	9.019	7.997	11.162	9.827	9.513	8.387	9.369	9.485	8.871
HLA-DOA	7.015	6.254	7.210	5.422	5.645	7.942	7.235	7.261	5.980	6.843	6.068	6.820
HLA-DOB	3.657	4.013	4.160	3.585	3.397	6.857	3.849	4.427	2.580	4.048	3.976	2.547
HLA-DPA1	11.110	9.972	10.626	10.158	9.479	12.690	11.868	10.766	10.444	11.480	10.960	10.617
HLA-DPB1	10.925	10.120	10.837	10.105	9.280	12.614	11.600	11.079	10.321	11.408	11.241	11.171
HLA-DQA1	12.186	9.754	2.575	9.836	8.763	15.070	2.197	10.157	2.217	10.615	10.554	0.377
HLA-DQA2	4.979	3.139	4.798	3.363	2.982	7.412	5.223	5.117	3.732	3.811	4.187	3.077
HLA-DQB1	10.643	8.980	-0.010	7.429	8.626	12.815	2.975	8.534	3.110	8.520	8.644	2.836
HLA-DRA	12.402	11.453	12.183	11.437	10.531	14.106	12.931	12.086	11.774	12.490	12.245	12.403
HLA-DRB1	13.662	11.946	9.897	11.372	11.122	15.386	10.894	11.318	10.930	12.165	12.033	9.901
HLA-DRB5	11.354	11.311	3.160	10.322	10.619	13.580	2.560	10.538	1.732	12.452	2.535	11.944
HLA-E	13.204	12.318	12.842	11.803	11.994	14.601	13.199	12.252	13.109	12.138	12.739	12.262
HLA-F	10.340	9.265	10.444	8.694	10.066	12.725	10.305	8.251	10.170	9.065	9.352	8.871
HMGA1	9.344	9.938	9.790	9.623	9.224	10.062	9.067	9.080	8.404	9.054	9.508	9.037
HMGB1	7.133	8.361	8.046	7.109	8.217	6.701	8.245	7.726	8.233	7.893	8.313	7.865
HNF1A	4.564	3.554	2.798	2.778	4.204	6.100	3.477	1.795	2.869	2.326	3.187	3.464
HRAS	9.881	9.590	9.328	9.332	10.172	10.559	9.286	8.442	9.688	8.891	10.104	8.601
HSD11B1	7.301	5.912	5.691	8.063	7.230	6.796	6.004	5.254	5.600	6.752	4.772	6.869
ICAM1	11.204	10.112	10.343	8.755	7.547	10.427	11.099	8.170	9.464	9.160	9.606	10.288
ICAM2	7.503	5.461	6.466	5.927	5.921	6.886	6.738	6.571	5.785	6.261	5.898	6.690
ICAM3	7.100	7.078	7.002	6.598	7.178	9.068	7.178	6.280	7.449	6.752	6.761	7.454
ICAM5	8.802	6.963	7.160	3.237	7.873	7.527	7.278	3.643	6.941	8.159	6.509	8.388
ICOS	4.117	3.139	3.691	2.100	2.982	5.149	3.560	1.795	2.410	2.589	2.898	1.962
ICOSLG	10.349	8.933	9.737	7.016	8.526	10.427	9.388	9.462	9.061	7.266	8.328	8.855
ID4	10.125	11.938	11.931	5.392	12.029	9.259	11.783	12.260	11.633	10.919	10.266	12.050
IDO1	6.117	4.802	6.099	5.478	5.397	8.319	6.197	3.643	7.198	3.004	4.428	4.699
IER3	10.573	9.387	7.891	10.714	7.441	11.043	10.095	7.337	8.413	8.504	8.361	8.912
IFI16	10.272	9.785	10.546	10.399	8.577	9.896	10.608	10.636	9.609	10.703	10.964	10.301
IFI27	11.785	10.189	10.697	10.948	9.705	14.015	11.817	10.743	10.699	10.509	11.088	11.243
IFI35	9.682	8.329	8.867	9.595	8.746	11.635	9.461	7.479	10.170	8.094	8.469	8.493
IFI6	11.411	9.867	11.796	11.698	9.547	13.340	12.640	10.410	10.987	9.926	10.024	10.599
IFIH1	9.261	8.719	9.185	9.206	8.897	11.178	9.840	8.784	10.174	8.615	8.995	9.377
IFIT1	9.537	7.773	8.988	9.546	7.921	11.798	9.744	8.889	9.261	7.905	8.072	8.613
IFIT2	8.966	8.844	9.516	9.187	6.606	10.621	9.315	8.566	8.544	7.666	7.971	8.028
IFIT3	10.290	9.458	9.923	9.332	7.905	12.437	10.371	9.632	11.412	9.322	9.676	9.618
IFITM1	10.770	9.633	9.793	10.726	8.635	12.843	10.508	11.249	10.763	8.948	9.332	10.113
IFITM2	10.793	9.701	10.184	11.070	9.069	11.733	10.078	10.425	8.891	10.002	9.185	9.867
IFNA1	5.905	3.876	5.312	4.026	4.719	6.599	3.782	3.058	1.732	2.463	3.728	4.184
IFNAR1	9.549	9.699	9.512	9.374	9.425	9.167	9.966	10.119	9.549	10.298	9.451	9.654
IFNG	4.657	4.013	2.575	3.865	4.397	5.329	3.477	3.795	3.110	2.811	4.120	3.284
IFNGR1	11.530	11.081	11.678	10.489	11.304	12.048	11.153	11.163	11.143	11.111	11.025	10.522
IFNGR2	11.073	10.745	10.786	10.848	11.169	12.405	11.207	10.152	11.121	11.264	11.305	10.487
IGF2R	9.305	8.729	8.732	9.342	8.587	9.392	8.822	9.010	8.462	9.021	9.615	8.162
IHH	4.358	2.554	3.798	2.585	3.719	5.412	3.477	3.058	2.995	3.463	3.313	3.077
IKBKB	8.910	8.485	8.749	8.355	8.664	10.046	8.714	8.138	9.383	7.964	8.400	7.765
IKBKG	8.337	7.989	8.238	8.274	8.267	8.857	7.619	7.462	8.443	7.811	7.937	7.427
IL10	6.358	5.412	4.634	4.585	4.982	7.564	5.367	3.932	4.454	4.862	5.252	5.853
IL10RA	9.220	8.647	8.583	8.436	7.097	10.758	9.646	8.607	8.495	8.787	8.059	8.688
IL11	5.465	5.254	5.078	3.778	5.484	6.451	5.693	4.117	3.995	4.759	4.535	5.077
IL11RA	8.308	8.116	7.391	4.685	7.484	7.812	7.445	7.374	8.204	8.136	7.041	7.849
IL12RB2	5.702	3.361	4.634	2.778	4.567	4.412	4.519	2.795	2.869	4.589	4.772	5.735
IL15	5.181	4.876	6.257	5.968	4.719	6.701	6.197	5.201	5.802	5.935	5.705	5.377
IL16	8.287	7.473	7.879	7.642	6.789	10.158	8.522	7.795	7.937	7.775	7.456	7.511
IL17A	4.745	3.361	3.897	3.585	4.982	5.412	2.849	1.058	2.410	2.174	3.050	3.284
IL18	7.552	7.673	7.956	6.378	6.041	7.796	8.387	8.467	6.758	8.562	6.985	7.756
IL18R1	4.465	3.724	3.798	3.478	3.982	5.634	3.712	4.427	7.465	4.837	2.728	4.132
IL1A	8.220	6.783	6.605	8.054	5.397	7.432	10.452	6.214	9.194	6.335	6.068	8.754
IL1B	10.575	7.268	7.219	9.778	6.889	9.075	11.479	5.813	10.326	8.156	7.305	10.001
IL1R2	5.515	5.876	6.466	4.778	5.789	6.914	4.090	4.280	5.767	5.970	5.050	4.803
IL1RN	7.117	6.078	5.383	6.286	4.982	7.527	6.675	2.932	3.658	4.785	5.313	5.527
IL2	5.867	3.876	4.514	4.026	5.097	6.149	3.638	2.932	2.732	2.004	3.815	4.331
IL21R	5.979	3.139	4.383	6.100	4.397	7.173	4.975	4.173	3.497	4.396	3.635	2.699
IL22RA1	4.905	4.802	4.634	4.422	5.719	6.634	3.090	3.643	3.802	2.811	4.313	4.021
IL24	4.358	3.139	2.990	3.478	4.719	5.490	2.975	1.795	2.869	2.004	1.313	4.331
IL2RA	7.084	4.802	4.897	4.478	4.397	7.371	5.272	2.932	4.964	6.070	5.898	4.625
IL2RB	6.084	4.254	5.823	4.987	4.567	8.184	5.580	3.932	4.165	4.091	5.086	4.235
IL2RG	6.439	5.763	6.530	5.865	3.397	9.345	6.799	5.777	4.767	5.785	6.050	5.464
IL32	10.102	11.050	8.965	8.021	7.645	9.990	9.203	8.145	7.311	8.555	7.883	7.984
IL33	9.279	9.116	9.687	9.115	8.710	8.518	8.496	9.033	7.700	8.328	8.570	8.272
IL34	7.242	4.554	6.498	5.301	6.441	7.149	6.145	4.899	5.476	7.102	5.343	6.877
IL4	3.827	0.554	1.990	2.948	4.719	4.942	1.975	2.473	0.995	1.811	1.728	2.547
IL6	10.340	7.062	6.160	7.301	6.789	8.977	9.306	3.795	8.144	6.174	6.313	7.517
IL6R	9.165	8.704	9.109	8.940	7.952	10.146	8.506	7.965	8.609	7.972	8.831	7.448
IL7R	6.242	5.461	5.514	5.301	6.041	8.137	5.693	4.331	4.217	5.430	4.772	5.606
INHBA	6.886	4.946	5.238	5.170	5.719	5.997	4.782	3.173	5.054	5.091	3.976	5.625
IRF1	9.340	9.074	9.613	8.639	8.041	10.674	10.001	9.161	11.494	8.492	8.513	9.774
IRF2	8.771	8.763	8.912	8.274	8.097	8.685	9.015	8.965	8.960	8.899	8.339	9.101
IRF3	8.781	9.371	8.996	9.280	9.526	9.441	8.899	8.238	9.639	8.463	8.739	9.145
IRF4	6.181	5.461	5.605	4.170	5.304	9.225	5.004	5.117	4.165	4.619	5.086	5.308
IRF5	8.141	7.839	8.229	7.221	7.397	9.676	7.782	7.427	7.658	7.208	7.605	6.786
IRF7	8.657	8.078	8.663	7.987	7.626	10.543	8.937	7.899	8.883	7.426	7.883	8.181
IRF8	8.657	8.093	8.365	7.126	7.178	9.412	8.925	8.413	7.549	7.993	7.676	7.620
IRF9	10.062	10.081	10.458	10.563	9.852	11.312	10.733	10.171	10.940	9.483	9.835	10.346
ISG15	10.707	8.709	10.467	10.507	8.789	13.556	11.412	10.105	11.215	8.952	9.535	9.825
ITGA1	8.837	7.598	8.404	7.598	7.889	7.928	8.946	7.028	7.802	8.305	7.059	8.351
ITGA2	8.287	8.191	8.248	5.611	8.789	8.599	9.195	8.277	8.161	6.849	6.372	8.305
ITGA4	8.600	7.543	8.299	8.161	7.682	10.348	8.621	6.702	8.100	8.268	8.259	7.399
ITGA6	9.917	9.329	9.888	9.241	8.673	8.264	9.893	9.973	8.184	8.837	9.125	10.372
ITGAE	7.867	7.744	8.180	7.795	8.397	7.527	8.364	8.709	8.191	8.104	8.786	8.501
ITGAL	8.272	6.412	7.474	7.044	6.567	10.451	7.684	6.965	6.767	6.396	7.937	6.063
ITGAM	8.521	7.830	7.725	7.332	6.889	8.949	7.905	6.711	7.046	7.213	7.810	7.118
ITGAV	12.539	12.059	11.830	12.389	11.870	12.964	12.167	12.643	11.786	12.878	10.841	11.893
ITGAX	11.259	10.174	10.283	9.409	9.737	12.519	10.301	9.802	9.874	9.178	10.318	9.272
ITGB2	12.063	11.154	10.805	10.164	10.450	13.306	10.962	10.445	10.391	10.548	11.258	10.310
ITGB3	6.961	7.912	7.219	6.348	6.682	7.432	6.285	6.356	6.793	6.849	5.794	5.567
ITGB8	10.826	11.853	12.469	9.425	12.530	9.386	12.789	11.669	13.463	11.265	10.707	13.028
ITPK1	10.873	10.735	10.792	9.070	10.616	9.973	10.555	11.071	10.543	10.369	9.939	11.014
JAG1	9.718	9.883	10.320	9.704	10.125	8.742	9.966	9.233	9.969	9.083	9.506	9.869
JAG2	5.787	4.946	4.945	4.636	5.719	6.049	4.599	3.560	3.732	4.289	5.456	5.077
JAK1	10.257	10.301	10.229	11.188	10.185	10.534	10.115	10.369	10.215	10.351	9.948	10.056
JAK2	9.576	9.551	9.680	9.546	9.463	10.767	9.800	9.093	10.019	9.381	9.224	9.391
JAK3	8.629	6.335	7.530	7.153	5.645	9.681	7.338	6.462	6.340	7.242	6.805	6.331
KAT2B	11.072	11.420	11.436	10.014	11.614	10.934	10.760	11.441	10.984	11.324	10.470	11.635
KDR	8.952	6.963	8.040	8.588	8.654	7.173	8.037	7.550	7.869	7.112	6.761	7.832
KIF2C	5.358	6.576	6.897	7.355	6.952	5.827	6.944	7.682	5.619	6.123	8.767	6.653
KIR2DL3	6.979	5.461	5.348	4.778	6.041	7.412	3.638	3.173	3.217	2.704	3.815	5.644
KIR3DL1	6.050	4.461	3.691	3.865	4.719	6.242	2.975	3.380	1.410	2.004	1.313	4.547
KIR3DL2	4.657	3.139	3.450	2.100	4.719	5.149	-0.610	-0.527	0.410	0.589	-0.272	2.962
KIT	5.787	5.946	5.312	6.948	7.255	5.049	6.171	7.744	5.885	6.690	5.187	8.067
KLRB1	4.905	3.361	4.450	3.948	4.204	7.075	4.849	4.965	3.658	4.811	4.635	4.132
KLRD1	4.905	5.254	5.383	4.363	4.719	6.196	4.434	5.473	5.054	5.308	4.428	5.184
KLRK1	5.657	5.554	6.035	4.948	3.719	8.062	5.519	8.346	3.995	9.014	4.586	5.049
KRAS	9.084	8.744	8.474	9.822	9.885	9.371	9.102	8.903	9.666	9.253	9.945	9.287
LAG3	5.181	4.254	5.545	5.559	4.982	9.081	5.297	6.201	4.454	4.396	6.548	4.586
LAIR1	9.993	9.309	9.421	8.549	8.495	11.413	9.408	8.362	8.772	9.296	9.254	8.219
LAMA1	6.358	7.543	8.659	7.450	6.982	6.796	7.248	6.981	8.323	5.633	7.995	5.421
LAMB3	6.242	5.508	6.909	6.392	7.012	6.412	5.434	5.981	5.432	8.073	6.898	6.197
LAMC2	4.117	3.554	4.312	3.685	3.982	4.412	2.849	3.865	3.217	4.430	3.428	5.210
LCK	5.117	4.361	5.348	4.732	3.719	8.264	4.816	3.560	2.732	4.174	4.635	4.377
LDHA	11.846	12.604	12.642	10.643	11.287	10.407	11.446	10.889	10.970	12.538	12.278	12.689
LDHB	12.918	12.589	12.550	13.385	12.876	12.376	12.590	12.675	12.906	12.648	12.956	13.113
LGALS9	10.024	9.074	9.590	8.855	8.567	11.726	9.617	8.918	9.143	8.056	9.627	7.873
LIF	9.891	8.316	9.102	8.100	8.292	8.518	6.937	6.028	8.332	7.339	7.542	7.278
LILRA1	7.623	6.641	6.677	5.968	5.789	8.701	7.034	6.173	6.243	5.849	6.220	6.366
LILRA3	3.827	4.254	4.312	4.170	5.304	5.942	3.390	3.560	3.217	3.004	3.535	4.021
LILRA5	7.084	5.309	5.663	5.506	5.097	9.568	5.580	4.331	4.836	4.430	5.976	5.308
LILRB2	7.817	6.783	7.229	6.533	5.921	9.697	7.529	6.528	6.329	6.480	6.509	6.158
LILRB4	10.111	9.154	9.600	8.846	8.823	12.119	9.592	8.957	8.921	8.762	9.798	8.402
LOXL2	7.133	7.631	8.073	7.035	6.526	6.827	6.248	6.131	6.580	7.312	6.647	6.615
LRRC32	8.570	7.093	8.140	6.708	7.506	8.173	7.816	6.612	6.497	7.004	6.120	7.491
LTB	5.979	4.361	5.238	5.886	4.719	10.109	4.599	3.721	4.165	4.463	4.937	4.132
LTBP1	10.287	10.040	9.560	7.392	9.640	10.199	9.956	8.487	8.894	8.690	10.649	9.489
LY9	5.787	4.641	4.990	4.170	4.982	7.219	4.434	4.058	4.054	3.759	4.728	4.662
LY96	9.283	8.704	8.956	9.153	7.152	9.297	9.026	8.625	7.460	9.938	8.483	8.467
LYZ	11.459	11.013	11.018	9.574	8.798	14.736	10.589	9.182	9.830	9.014	11.007	9.166
MAGEA1	4.979	2.876	4.450	7.286	4.567	5.765	3.638	2.795	2.869	3.004	2.313	3.836
MAGEA12	3.827	2.876	3.990	3.948	4.567	4.412	2.975	2.643	2.732	2.911	2.535	3.464
MAGEA3/A6	5.412	2.554	4.312	6.533	4.397	5.490	3.297	1.473	2.217	5.289	0.728	3.769
MAGEA4	5.050	2.554	4.078	7.697	4.204	5.490	2.197	3.560	1.732	2.326	3.535	2.699
MAGEB2	4.979	4.254	4.514	4.301	5.097	6.286	5.062	3.997	4.539	4.289	4.252	4.184
MAGEC1	5.117	2.876	3.990	10.028	4.567	5.490	2.197	2.643	2.732	3.004	2.535	2.699
MAGEC2	5.611	2.554	3.691	11.227	2.982	4.827	3.297	2.280	1.995	3.174	2.898	2.699
MAML2	8.528	9.678	8.583	8.657	8.913	7.412	8.567	9.858	8.427	8.793	7.442	9.125
MAP3K12	7.997	8.093	7.656	7.691	7.328	7.308	7.619	6.957	7.750	7.596	6.947	7.485
MAP3K5	10.155	9.970	9.600	8.297	9.701	9.613	9.613	8.889	8.851	10.234	9.036	9.221
MAP3K7	10.746	10.763	10.872	10.772	10.982	11.035	10.825	10.672	10.712	10.622	10.871	10.369
MAP3K8	9.455	8.335	8.088	7.849	6.982	9.124	8.501	7.663	7.976	8.496	7.415	8.349
MAPK10	8.997	8.714	8.545	8.975	10.559	8.701	8.501	8.675	9.070	9.463	7.688	9.337
MARCO	7.635	7.240	5.238	5.270	4.719	9.219	4.638	3.058	5.600	5.558	5.878	6.091
MB21D1	7.165	7.412	6.848	7.591	6.889	8.546	7.997	6.830	8.021	7.133	8.320	6.354
MELK	5.979	6.724	6.057	7.471	7.789	6.827	6.857	7.221	5.497	6.289	8.731	6.035
MET	7.316	7.554	7.575	5.927	6.567	7.149	8.069	6.786	4.539	7.032	7.918	7.893
MFGE8	10.978	11.583	10.598	10.838	10.122	10.947	10.282	10.052	10.516	11.433	9.242	10.459
MFNG	7.807	7.013	6.545	9.086	6.789	8.758	7.241	7.721	7.039	6.837	6.483	6.606
MGMT	9.157	8.912	8.352	9.591	8.587	9.655	8.754	8.287	8.683	7.704	7.305	8.308
MICA	7.552	7.963	7.867	4.987	6.304	7.734	6.937	5.517	7.110	5.958	6.120	6.118
MICB	6.979	6.109	6.921	5.636	5.304	7.928	8.001	5.028	6.305	5.619	7.212	5.962
MKI67	6.702	8.282	8.642	9.837	8.506	7.718	8.876	8.337	6.039	8.280	11.348	7.537
MLANA	6.050	5.013	5.120	4.422	5.789	6.371	4.434	3.473	3.869	4.213	4.313	5.077
MLH1	9.876	9.734	9.825	9.588	9.959	10.068	9.306	9.558	9.429	9.508	9.738	9.463
MMP1	6.540	5.802	5.078	5.026	4.856	6.734	4.712	3.058	2.410	3.252	3.535	4.803
MMP7	5.943	6.226	6.330	4.987	5.204	6.412	4.197	5.173	3.802	5.252	6.298	4.464
MMP9	7.933	4.641	5.990	4.778	5.567	7.900	6.609	3.280	8.305	5.344	5.428	6.158
MMRN2	8.755	6.876	7.506	7.907	7.789	8.591	7.960	6.973	7.024	6.975	6.068	7.098
MRC1	7.635	8.070	6.848	6.855	5.856	7.812	6.332	6.941	6.465	8.321	6.937	7.820
MRE11	8.680	9.523	8.953	8.495	8.710	8.329	9.113	9.402	8.962	9.119	9.092	9.077
MS4A1	5.611	5.683	5.120	4.732	5.856	6.970	4.344	2.795	3.802	3.862	3.898	4.547
MS4A2	3.827	2.139	3.160	2.948	2.397	4.564	1.390	2.058	2.732	2.463	3.050	1.962
MS4A4A	10.196	9.688	9.301	8.746	7.547	11.336	9.878	9.721	8.415	9.841	9.860	9.532
MS4A6A	7.242	6.876	7.160	6.253	5.204	8.796	6.756	6.517	4.619	6.923	7.204	6.210
MSH2	8.458	8.980	8.694	8.761	8.997	8.480	9.332	9.443	8.544	9.089	9.785	9.675
MSH6	7.797	8.316	7.973	8.174	8.204	8.049	8.245	8.187	8.103	8.051	8.844	7.812
MTOR	9.096	9.381	9.687	9.166	9.582	9.340	9.588	9.497	9.536	9.361	9.752	9.150
MX1	9.952	7.424	9.257	7.400	6.889	12.197	10.312	7.386	10.079	7.852	8.605	8.188
MXI1	8.623	9.312	8.620	9.072	8.495	8.643	8.575	9.203	9.133	9.289	7.805	8.953
MYC	9.721	9.885	9.446	9.405	9.687	9.386	9.682	9.170	9.625	8.308	8.271	9.296
MYCT1	7.886	5.876	6.200	7.072	6.351	7.173	7.076	6.663	5.917	6.361	5.705	6.786
MYD88	10.079	9.607	10.028	10.491	9.484	11.531	9.567	9.299	10.009	9.470	10.815	8.945
NBN	9.606	9.858	10.067	9.643	10.342	9.319	10.282	10.336	9.867	9.957	9.483	10.181
NCAM1	12.065	12.252	11.723	11.999	12.138	11.226	12.072	12.452	11.491	11.945	10.709	12.445
NCR1	5.242	4.254	4.238	4.170	5.097	6.286	3.849	3.795	3.110	3.527	2.898	4.021
NDUFA4L2	8.611	8.734	8.429	7.457	7.856	8.412	8.101	6.173	7.191	10.015	7.290	7.290
NECTIN1	9.784	9.390	9.415	8.021	8.654	9.247	9.720	10.212	8.261	9.955	9.478	9.856
NECTIN2	10.045	9.927	10.039	9.968	9.668	10.534	9.796	9.449	10.442	9.649	10.065	9.771
NEIL1	8.425	8.437	8.553	7.660	8.316	7.842	6.952	7.073	8.370	8.211	7.503	8.148
NF1	9.141	9.319	9.308	9.189	9.474	8.935	8.982	9.088	9.211	8.720	9.057	9.157
NFAM1	7.766	5.802	6.078	6.855	5.397	9.056	6.609	5.830	6.024	5.574	6.137	5.260
NFATC2	8.399	7.783	8.219	7.617	8.111	9.036	8.148	8.439	8.204	7.785	7.350	7.606
NFIL3	9.804	10.301	9.782	9.772	9.012	9.366	9.605	10.083	8.929	9.378	9.283	9.949
NFKB1	9.537	9.449	9.417	8.943	9.345	10.213	9.588	9.290	9.622	9.555	9.107	9.130
NFKB2	9.537	9.352	8.864	9.235	7.982	10.270	8.921	8.640	8.817	8.549	8.810	8.142
NFKBIA	13.169	12.506	11.654	12.620	12.295	12.825	12.967	11.482	12.333	11.532	11.496	12.166
NFKBIE	7.588	7.240	7.575	6.720	6.645	8.124	8.051	6.692	7.039	6.993	7.103	6.885
NGFR	8.109	9.832	9.587	3.778	6.351	8.701	8.423	7.808	9.291	11.277	9.545	8.299
NID2	8.509	7.361	7.867	7.992	7.328	9.231	7.944	6.865	7.178	7.321	6.548	7.049
NKG7	7.611	5.839	6.545	6.118	5.204	10.345	7.090	5.539	5.476	4.785	6.204	5.399
NLRC5	8.372	7.169	8.462	8.081	7.645	9.499	8.619	7.763	9.112	6.818	7.407	8.703
NLRP3	7.257	4.946	5.897	6.833	6.041	8.765	6.975	4.997	6.508	5.527	5.586	5.547
NOD2	7.050	6.508	6.400	6.378	5.484	8.381	6.730	6.404	5.750	5.862	6.671	5.049
NOS2	4.905	4.254	7.575	4.732	9.138	4.827	4.560	2.932	9.023	3.589	3.728	4.132
NOTCH1	9.298	10.201	10.506	10.845	10.482	9.935	9.827	10.102	10.109	8.893	10.412	9.905
NOTCH2	10.833	10.936	10.568	12.034	11.393	11.397	10.547	11.027	11.202	10.655	10.496	10.688
NRAS	10.135	10.116	10.262	10.370	10.357	9.845	10.155	10.204	9.877	10.007	11.169	9.893
NT5E	7.540	7.322	9.013	6.135	8.606	8.381	8.691	6.973	6.138	8.110	7.120	8.226
OAS1	9.797	8.101	9.896	8.366	8.710	11.878	10.238	8.077	11.573	7.596	8.483	8.360
OAS2	9.768	7.849	9.274	9.533	7.719	12.607	10.708	8.290	11.177	7.859	8.847	8.667
OAS3	9.412	8.085	9.722	9.170	8.989	11.873	10.570	8.218	11.137	7.955	8.988	8.879
OASL	7.242	6.387	6.921	6.958	5.204	9.190	7.456	5.965	7.639	4.981	5.343	6.063
OLFML2B	8.024	6.620	6.257	9.838	6.441	8.049	8.026	7.495	6.329	8.070	7.086	6.916
OLR1	9.429	8.497	10.039	8.191	9.055	10.176	10.044	8.813	9.249	7.752	9.407	8.728
OTOA	2.657	3.876	4.078	2.100	4.204	5.049	3.975	2.473	3.217	1.811	3.728	3.184
P2RY13	9.121	6.704	8.046	8.868	6.889	9.422	9.151	8.043	7.840	7.840	7.077	7.552
P4HA1	8.975	9.576	9.245	7.992	8.165	8.036	8.736	9.064	8.387	10.082	9.206	9.306
P4HA2	7.713	7.876	7.078	5.204	6.041	7.023	7.303	6.592	6.570	8.191	6.837	6.893
PALMD	9.253	8.543	7.718	8.654	7.806	9.777	8.291	7.697	7.745	7.792	7.842	8.053
PARP12	8.528	7.830	8.601	7.492	7.280	9.781	9.437	8.110	9.362	7.708	7.933	8.443
PARP4	9.268	9.212	9.188	9.311	9.091	10.134	9.363	9.119	9.230	9.187	9.304	8.908
PARP9	9.075	8.576	9.504	9.075	7.921	10.026	10.020	9.493	9.294	8.805	8.685	9.447
PC	9.792	10.352	9.715	10.175	9.631	9.896	9.397	9.484	9.357	9.279	8.463	9.815
PCK2	7.713	7.754	7.725	8.100	7.012	8.573	7.628	6.989	7.110	7.159	7.831	7.112
PDCD1	4.657	3.876	4.990	4.026	4.982	6.857	4.675	3.173	3.497	3.862	3.728	4.962
PDCD1LG2	6.943	5.724	6.590	6.044	5.856	7.857	7.254	5.865	7.828	5.496	6.154	6.343
PDGFA	8.496	8.933	9.241	6.673	10.761	8.036	9.366	7.822	10.907	7.633	7.212	9.026
PDGFB	7.528	6.508	6.677	7.109	6.567	7.796	7.933	6.318	7.865	7.128	5.878	7.139
PDGFRB	9.688	9.381	9.402	9.225	10.277	10.536	9.760	8.504	10.773	8.628	7.888	9.285
PDK1	8.867	10.348	9.528	8.669	8.138	7.983	8.216	7.912	8.086	9.353	8.823	9.438
PDZK1IP1	6.385	4.876	5.120	3.778	4.982	7.412	4.638	4.228	3.497	4.886	4.428	5.284
PECAM1	10.356	9.511	10.200	9.037	9.069	10.466	10.480	9.452	10.278	10.087	9.133	9.937
PF4	4.657	3.724	4.383	3.948	4.567	5.564	2.712	2.280	2.410	2.704	2.313	3.077
PFKFB3	10.424	10.810	10.207	10.086	8.936	10.121	9.667	9.229	9.983	9.282	8.601	9.432
PFKM	9.092	8.912	8.801	8.651	8.645	8.286	8.754	8.716	8.885	9.256	8.844	9.272
PGPEP1	9.235	9.482	8.939	8.651	9.659	9.621	8.745	8.318	8.972	9.355	9.224	8.440
PIAS4	9.540	9.282	9.460	8.743	9.901	9.617	9.358	8.716	9.272	8.777	9.555	9.364
PIK3CA	8.149	8.749	8.506	7.876	9.084	7.350	8.493	9.353	8.997	9.304	8.236	9.130
PIK3CD	8.558	7.609	7.778	7.598	7.351	10.267	7.853	6.804	7.432	7.308	7.598	7.084
PIK3CG	7.635	6.912	7.830	7.212	6.567	8.668	8.145	7.539	6.933	7.261	7.259	6.954
PIK3R1	9.802	10.418	10.071	10.290	10.374	9.513	10.215	10.462	11.404	10.298	9.302	10.972
PIK3R2	10.165	10.571	10.576	11.530	11.173	11.239	10.345	9.873	11.055	10.143	11.481	10.484
PIK3R5	8.365	8.807	8.458	7.828	7.374	9.796	8.604	7.870	7.758	8.001	7.805	7.690
PKM	13.452	13.254	13.119	13.810	12.760	13.492	12.771	12.451	12.555	13.552	13.028	12.861
PLA1A	6.301	4.361	4.798	4.170	4.567	7.196	5.730	5.173	3.317	4.463	4.050	4.836
PLA2G2A	12.904	9.275	8.749	6.997	6.682	6.564	7.760	2.058	5.980	6.543	5.878	5.210
PLOD2	10.657	10.600	9.790	9.924	9.004	8.208	9.555	9.100	7.754	9.271	9.144	9.675
PMS2	8.896	9.097	9.454	7.953	9.334	8.275	9.280	8.889	9.261	8.070	9.259	9.394
PNOC	6.540	3.554	3.691	2.100	5.484	5.701	6.529	1.795	5.658	8.179	6.635	5.769
POLD1	6.540	7.268	6.798	7.212	7.664	7.599	6.747	6.306	7.138	5.648	7.878	6.496
