gene	GSM4237826	GSM4237827	GSM4237828	GSM4237829	GSM4237830	GSM4237831	GSM4237832	GSM4237833	GSM4237834	GSM4237835	GSM4237836	GSM4237837
SRP54	8.797	9.491	9.267	8.711	9.041	8.329	9.203	9.279	8.665	8.713	8.978	9.282
STAT1	10.699	9.576	10.434	11.984	10.062	13.147	11.859	10.437	12.129	10.420	10.402	11.505
STAT2	11.043	11.112	11.324	11.042	10.721	12.106	11.638	11.186	12.056	11.150	10.198	11.108
STAT3	11.012	10.922	11.429	10.200	10.094	9.800	10.896	11.454	10.274	11.161	10.438	11.157
STAT4	6.439	5.078	5.945	5.026	6.041	7.668	6.004	3.280	5.340	6.194	4.728	7.210
STC1	6.847	5.876	6.620	6.927	6.041	6.886	4.849	3.932	3.410	5.935	7.580	6.171
SYK	8.718	8.437	8.590	7.499	6.856	9.381	8.407	7.804	7.223	8.242	8.179	7.522
TAF3	6.149	5.683	5.848	5.506	5.397	6.049	5.599	5.795	5.600	6.164	5.837	5.901
TAP1	10.008	9.292	9.975	8.940	9.267	11.283	10.673	9.552	11.284	9.902	9.774	10.415
TAP2	9.723	9.005	9.456	9.796	9.414	10.987	9.951	9.016	10.532	9.497	9.152	9.213
TAPBP	10.979	10.738	11.390	10.919	10.331	11.934	11.144	9.949	11.265	10.922	10.870	10.706
TAPBPL	8.750	8.704	8.701	8.468	9.041	9.769	8.791	8.113	10.090	8.211	8.279	7.984
TBX21	4.979	4.361	4.514	3.685	5.567	6.329	3.390	3.380	3.410	3.252	3.535	3.377
TBXAS1	9.287	8.867	9.370	8.743	8.230	10.720	9.596	8.695	8.707	9.355	8.748	8.539
TCF3	8.657	9.699	10.125	9.475	9.802	8.617	9.441	9.655	9.556	8.762	10.081	9.895
TCL1A	4.745	4.013	3.450	3.478	4.567	6.734	3.390	3.560	3.410	3.326	3.728	3.077
TDO2	8.032	4.361	5.200	7.414	5.567	6.329	5.944	3.932	3.802	6.843	7.365	5.399
TGFB1	11.727	11.204	10.485	11.946	11.147	13.091	11.045	10.861	10.899	11.246	11.406	10.071
TGFB2	9.204	10.165	9.853	9.148	9.626	8.149	10.224	9.272	9.442	9.720	8.411	11.652
TGFB3	10.060	8.997	9.663	8.980	9.989	9.621	8.812	8.889	8.767	7.755	8.589	8.750
TGFBR1	11.278	10.365	10.847	10.527	10.337	11.236	10.799	11.259	10.521	10.839	11.142	10.467
TGFBR2	8.680	8.233	8.413	7.917	7.178	8.693	8.696	8.928	7.614	8.894	7.555	8.402
THBD	8.272	6.704	5.921	5.301	6.097	6.886	6.309	3.473	4.933	5.558	5.120	5.853
THBS1	10.821	9.467	10.611	11.383	8.881	9.417	9.584	7.813	7.138	10.515	8.503	10.143
THY1	11.219	10.044	11.003	11.076	10.310	9.875	11.102	10.804	9.893	11.972	10.412	11.577
TICAM1	7.301	7.046	7.078	6.636	7.012	7.490	7.524	6.131	7.415	6.690	6.635	6.869
TIE1	8.439	7.013	7.498	8.436	8.138	8.242	7.861	7.180	8.432	6.868	6.236	7.063
TIGIT	6.979	4.554	5.078	5.533	5.567	8.381	4.975	2.932	3.317	2.911	5.120	3.962
TLR1	7.776	7.361	7.285	7.629	7.097	8.970	8.269	7.528	7.432	8.032	7.283	7.296
TLR2	9.597	9.169	9.117	8.183	7.856	10.752	9.867	8.290	9.004	9.339	8.339	8.334
TLR3	7.669	6.894	7.627	7.943	7.152	8.928	8.640	7.740	8.449	7.637	7.561	8.042
TLR4	10.439	10.468	10.231	11.789	8.340	11.776	10.102	9.690	8.871	10.421	9.786	9.334
TLR5	6.807	6.335	5.990	6.007	5.397	7.412	6.738	5.848	5.476	6.512	5.535	5.947
TLR7	8.257	6.683	7.458	7.566	6.567	10.056	7.967	7.180	7.223	7.252	7.004	5.901
TLR8	6.997	5.554	6.120	5.611	6.041	7.900	5.944	5.777	4.695	6.361	5.898	4.901
TLR9	5.515	5.461	5.276	4.732	5.982	6.286	4.145	5.949	4.364	4.527	4.483	4.421
TMEM140	9.810	9.187	8.953	8.795	8.781	10.674	8.849	8.571	8.902	8.303	8.192	8.296
TMEM173	9.354	7.673	8.939	9.088	7.905	9.722	9.067	8.248	8.236	8.648	8.240	8.049
TNF	9.448	8.109	6.968	10.054	7.328	9.613	10.165	6.749	8.010	7.312	7.212	7.672
TNFAIP3	8.358	7.576	6.745	8.237	6.351	8.668	9.265	6.228	8.763	7.451	5.937	7.690
TNFAIP6	9.062	7.734	8.804	5.559	8.351	7.451	8.168	6.058	7.096	7.648	7.671	8.302
TNFRSF10B	9.347	9.139	9.417	8.945	9.026	10.115	9.274	8.368	9.086	9.048	10.062	8.302
TNFRSF10C	7.745	5.361	7.238	5.611	5.484	8.997	7.769	6.159	5.949	6.640	6.298	5.901
TNFRSF10D	7.425	6.387	6.498	5.865	6.526	8.124	6.019	5.228	5.676	5.676	5.154	5.869
